 history_operation_id | order | type |                                                                                                                                                                                                                             details                                                                                                                                                                                                                             
    71639861223759873 |     1 |    2 | {"amount": "0.0012853", "asset_code": "XLM", "asset_type": "credit_alphanum4", "asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG"}
    71639861223759873 |     2 |    3 | {"amount": "0.0012853", "asset_code": "XLM", "asset_type": "credit_alphanum4", "asset_issuer": "GBSTRH4QOTWNSVA6E4HFERETX4ZLSR3CIUBLK7AXYII277PFJC4BBYOG"}
    71639882698604545 |     1 |   33 | {"seller": "GBDTBUKFHJOEAFAVNPGIY65CBIH75DYEZ5VQXOE7YHZM7AJKDNEOW5JG", "offer_id": 1613862, "sold_amount": "20.0900000", "bought_amount": "42.3899000", "sold_asset_type": "native", "bought_asset_code": "CNY", "bought_asset_type": "credit_alphanum4", "bought_asset_issuer": "GAREELUB43IRHWEASCFBLKHURCGMHE5IF6XSE7EXDLACYHGRHM43RFOX"}
    71639882698604545 |     2 |   33 | {"seller": "GBLCNNUWF5QTN3PPXRPAE74NX5HHSOFSD5OHL5DXVKQOJO4M6NCA66NO", "offer_id": 1613862, "sold_amount": "42.3899000", "bought_amount": "20.0900000", "sold_asset_code": "CNY", "sold_asset_type": "credit_alphanum4", "bought_asset_type": "native", "sold_asset_issuer": "GAREELUB43IRHWEASCFBLKHURCGMHE5IF6XSE7EXDLACYHGRHM43RFOX"}
    71639891288526849 |     1 |    2 | {"amount": "69.0000000", "asset_type": "native"}
    71639891288526849 |     2 |    3 | {"amount": "69.0000000", "asset_type": "native"}
    71639891288526850 |     1 |    5 | {"home_domain": "lobstr.co"}
    71639891288526850 |     2 |    7 | {"inflation_destination": "GCLGXNTUDJHRNCTTFEZ7B56Y5E3S7ZTIA4QJQ63KY3UBKOJSGY62LBEW"}
    71639895583498241 |     1 |    2 | {"amount": "1199.9900000", "asset_type": "native"}
    71639895583498241 |     2 |    3 | {"amount": "1199.9900000", "asset_type": "native"}
    71639895583510529 |     1 |   33 | {"seller": "GBDTBUKFHJOEAFAVNPGIY65CBIH75DYEZ5VQXOE7YHZM7AJKDNEOW5JG", "offer_id": 1613862, "sold_amount": "0.0047868", "bought_amount": "0.0101000", "sold_asset_type": "native", "bought_asset_code": "CNY", "bought_asset_type": "credit_alphanum4", "bought_asset_issuer": "GAREELUB43IRHWEASCFBLKHURCGMHE5IF6XSE7EXDLACYHGRHM43RFOX"}
    71639895583510529 |     2 |   33 | {"seller": "GBLCNNUWF5QTN3PPXRPAE74NX5HHSOFSD5OHL5DXVKQOJO4M6NCA66NO", "offer_id": 1613862, "sold_amount": "0.0101000", "bought_amount": "0.0047868", "sold_asset_code": "CNY", "sold_asset_type": "credit_alphanum4", "bought_asset_type": "native", "sold_asset_issuer": "GAREELUB43IRHWEASCFBLKHURCGMHE5IF6XSE7EXDLACYHGRHM43RFOX"}
    71639904173461505 |     1 |    2 | {"amount": "256.4262900", "asset_type": "native"}
    71639904173461505 |     2 |    3 | {"amount": "256.4262900", "asset_type": "native"}
    71639908468404225 |     1 |    2 | {"amount": "37.0000000", "asset_type": "native"}
    71639908468404225 |     2 |    3 | {"amount": "37.0000000", "asset_type": "native"}
    71639921353302017 |     1 |    2 | {"amount": "0.0001000", "asset_type": "native"}
    71639921353302017 |     2 |    3 | {"amount": "0.0001000", "asset_type": "native"}
    71639929943240705 |     1 |    2 | {"amount": "26.3891742", "asset_type": "native"}
    71639929943240705 |     2 |    3 | {"amount": "26.3891742", "asset_type": "native"}
    71639947123101697 |     1 |   12 | {"weight": 1, "public_key": "GCHDGFUGRMN5BR74LEBUMHHTWYIBIMI6M2LL2K3EQSRUF6GV6MAT4ZQK"}
    71639947123101697 |     2 |   12 | {"weight": 3, "public_key": "GCSSUJMFZXSCXD4ZBFWOD5WT3DVKUF2B4Y6OYIHPQXKV6BMSAR2KOV7P"}
    71639947123101697 |     3 |   12 | {"weight": 2, "public_key": "TAK6WFW3NLBIDOSINB7X6C53BEITGMJ27OWUKMEB5OPTJCWUD7XDR53G"}
    71639947123101697 |     4 |   12 | {"weight": 2, "public_key": "TC77I3EPAMOZDGBPVEAHEZGQ2ISNWVIE2EHLZITNDCZCQ2JPJSXHZUC6"}
    71639788209315841 |     1 |    2 | {"amount": "0.0001000", "asset_type": "native"}
    71639788209315841 |     2 |    3 | {"amount": "0.0001000", "asset_type": "native"}
(50 rows)

